City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Puerto Ayora,-0.7393,-90.3518,79.0,93,89,3.0,EC,2021-02-26 08:10:04
119,Oranjestad,12.524,-70.027,77.0,83,40,19.57,AW,2021-02-26 08:07:27
120,Chanute,37.6792,-95.4572,32.0,64,1,5.75,US,2021-02-26 08:10:04
121,Cherskiy,68.75,161.3,-26.45,86,80,4.29,RU,2021-02-26 08:10:04
122,Tevriz,57.509,72.4042,-12.26,88,99,4.25,RU,2021-02-26 08:10:05
123,Batemans Bay,-35.7167,150.1833,66.0,69,100,1.99,AU,2021-02-26 08:10:05
124,Sistranda,63.7256,8.834,42.8,87,75,24.16,NO,2021-02-26 08:10:05
125,Tarbagatay,51.4803,107.3602,14.0,85,90,2.24,RU,2021-02-26 08:10:06
126,Mporokoso,-9.3727,30.125,72.84,80,41,3.51,ZM,2021-02-26 08:10:06
127,Hamilton,39.1834,-84.5333,35.01,86,40,4.61,US,2021-02-26 08:05:17
128,Georgetown,5.4112,100.3354,91.4,62,20,10.36,MY,2021-02-26 08:07:16
129,Chifeng,42.2683,118.9636,49.37,38,0,12.37,CN,2021-02-26 08:10:07
130,Khatra,22.9833,86.85,98.8,9,0,12.73,IN,2021-02-26 08:10:07
131,Bengkulu,-3.8004,102.2655,87.44,62,17,19.69,ID,2021-02-26 08:10:07
132,Innisfail,-17.5333,146.0333,79.07,91,100,6.26,AU,2021-02-26 08:10:08
133,Aklavik,68.2191,-135.0107,-40.0,74,100,6.91,CA,2021-02-26 08:10:08
134,Rawson,-43.3002,-65.1023,67.23,62,79,12.21,AR,2021-02-26 08:10:08
135,The Valley,18.217,-63.0578,77.0,73,20,13.8,AI,2021-02-26 08:08:40
136,Rawdon,46.0501,-73.7159,8.6,72,0,4.61,CA,2021-02-26 08:10:09
137,Constitucion,-35.3333,-72.4167,54.84,89,60,8.03,CL,2021-02-26 08:10:10
138,Dingle,10.9995,122.6711,85.75,68,35,8.16,PH,2021-02-26 08:10:10
139,Gumla,23.05,84.55,91.83,11,0,15.3,IN,2021-02-26 08:10:10
140,Baruun-Urt,46.6806,113.2792,32.68,89,69,16.2,MN,2021-02-26 08:10:11
141,Kayerkan,69.3497,87.7602,-18.74,95,95,1.92,RU,2021-02-26 08:10:11
142,Kamthi,21.2333,79.2,95.0,20,0,2.3,IN,2021-02-26 08:10:11
143,Mandalgovi,45.7625,106.2708,43.34,54,74,13.73,MN,2021-02-26 08:10:11
144,Pervomayskiy,53.2485,40.2871,35.74,100,100,13.24,RU,2021-02-26 08:10:12
145,Lompoc,34.6391,-120.4579,51.8,43,1,8.05,US,2021-02-26 08:10:12
146,Ribeira Grande,38.5167,-28.7,55.4,88,20,5.75,PT,2021-02-26 08:10:12
147,Ponta Do Sol,32.6667,-17.1,53.01,55,0,5.01,PT,2021-02-26 08:10:13
148,Saint-Denis,48.9167,2.3333,46.4,87,100,5.75,FR,2021-02-26 08:10:13
149,Mayo,38.8876,-76.5119,37.99,75,1,3.44,US,2021-02-26 08:10:13
150,Lunino,53.5918,45.2271,30.0,76,100,5.23,RU,2021-02-26 08:10:14
151,Kruisfontein,-34.0033,24.7314,68.0,78,68,3.0,ZA,2021-02-26 08:10:14
152,Havre-Saint-Pierre,50.2334,-63.5986,5.0,56,1,19.57,CA,2021-02-26 08:10:14
153,Coahuayana,18.7333,-103.6833,69.84,61,4,3.06,MX,2021-02-26 08:10:15
154,Berck,50.4,1.6,42.8,81,0,10.36,FR,2021-02-26 08:10:15
155,Zyukayka,58.2025,54.7003,-5.17,89,77,8.21,RU,2021-02-26 08:10:15
156,Mahebourg,-20.4081,57.7,84.2,70,75,16.11,MU,2021-02-26 08:10:15
157,Beringovskiy,63.05,179.3167,-19.34,87,100,12.1,RU,2021-02-26 08:10:16
158,Hobyo,5.3505,48.5268,82.78,61,25,17.76,SO,2021-02-26 08:10:16
159,Mareeba,-17.0,145.4333,81.0,89,95,8.05,AU,2021-02-26 08:10:16
160,Douentza,14.9951,-2.9517,65.44,18,0,5.46,ML,2021-02-26 08:10:16
161,Broken Hill,-31.95,141.4333,80.6,19,54,9.22,AU,2021-02-26 08:10:16
162,Severo-Kurilsk,50.6789,156.125,20.61,90,98,9.78,RU,2021-02-26 08:10:17
163,Ostrovnoy,68.0531,39.5131,20.53,90,99,16.96,RU,2021-02-26 08:10:17
164,Semey,50.4111,80.2275,-4.0,54,0,15.66,KZ,2021-02-26 08:10:17
165,Guarapari,-20.6667,-40.4975,77.0,88,40,5.75,BR,2021-02-26 08:10:17
166,Dikson,73.5069,80.5464,-13.83,90,94,9.46,RU,2021-02-26 08:10:18
167,Harper,4.375,-7.7169,78.96,84,5,0.56,LR,2021-02-26 08:10:18
