City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Kudahuvadhoo,MV,81.41,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
340,Mundo Nuevo,MX,79.18,scattered clouds,18.7,-95.5,
343,Arawa,PG,77.18,overcast clouds,-6.2132,155.5367,Coastline Guest House
347,Odienne,CI,86.52,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
351,Yaritagua,VE,81.66,overcast clouds,10.08,-69.1261,Apartamento de Julian Cotillo
354,Tecoanapa,MX,83.88,clear sky,16.5167,-98.75,Hotel Manglares
357,Mbandaka,CD,80.28,overcast clouds,0.0487,18.2603,Guest House Epervier
364,Isangel,VU,79.81,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
368,Spring Hill,US,87.8,few clouds,28.4769,-82.5255,Room of The world By traveline Plus
369,Tinaquillo,VE,81.34,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
373,Las Matas De Farfan,DO,86.22,clear sky,18.8731,-71.5166,Casa Uben y Yolanda
374,Biltine,TD,78.31,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
376,Lufilufi,WS,86.0,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
382,Buala,SB,77.16,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
388,Talcahuano,CL,75.2,clear sky,-36.7167,-73.1167,Hotel Terramar
404,Kavaratti,IN,81.81,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
405,Inirida,CO,84.88,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
406,Puerto Madryn,AR,82.08,clear sky,-42.7692,-65.0385,Hotel Tolosa
410,Diamantino,BR,82.06,few clouds,-14.4086,-56.4461,Hotel Delta
412,Caravelas,BR,77.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
414,Ilheus,BR,75.2,broken clouds,-14.7889,-39.0494,Barravento Hotel
417,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
422,Caraguatatuba,BR,78.8,moderate rain,-23.6338,-45.4899,Cibele Cass
425,Ovalle,CL,82.44,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
427,Dagana,MR,78.8,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
429,Sorong,ID,81.57,light rain,-0.8833,131.25,The Waigo Hotel
431,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
440,Port Blair,IN,76.82,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
