City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Ponta Do Sol,PT,32.6667,-17.1,59.0,54,3,1.99,clear sky
184,Asyut,EG,27.181,31.1837,57.2,58,0,8.05,clear sky
185,Port Elizabeth,ZA,-33.918,25.5701,71.6,78,0,14.97,clear sky
186,Aklavik,CA,68.2191,-135.0107,-27.4,68,1,13.8,clear sky
187,Butaritari,KI,3.0707,172.7902,80.37,83,87,10.51,light rain
188,Bagdarin,RU,54.4333,113.6,-22.09,78,16,1.72,few clouds
189,Baykit,RU,61.67,96.37,-29.09,80,13,1.25,few clouds
190,Bethel,US,41.3712,-73.414,39.99,87,100,1.01,light rain
191,Klaksvik,FO,62.2266,-6.589,42.8,100,75,8.05,broken clouds
192,Cherskiy,RU,68.75,161.3,-21.06,81,0,3.4,clear sky
193,Kemijarvi,FI,66.7131,27.4306,36.61,90,100,12.71,overcast clouds
194,Ambanja,MG,-13.6833,48.45,75.61,88,97,3.2,overcast clouds
195,Baltay,RU,52.4652,46.6308,0.7,93,91,7.87,overcast clouds
196,Sambava,MG,-14.2667,50.1667,76.41,89,100,5.61,overcast clouds
197,Juanjui,PE,-7.1779,-76.7314,88.75,50,43,1.41,scattered clouds
198,Druzhba,UA,52.0428,33.9453,29.75,99,96,3.13,overcast clouds
199,San Cristobal,VE,7.7669,-72.225,77.0,83,75,5.75,broken clouds
200,Lahat,ID,-3.8,103.5333,72.84,94,99,2.1,overcast clouds
201,Swan Hill,AU,-35.3378,143.5544,59.94,67,0,11.16,clear sky
202,Huangnihe,CN,43.5583,128.0239,12.94,91,100,7.92,overcast clouds
203,Grand Gaube,MU,-20.0064,57.6608,79.0,77,2,1.99,light rain
204,Udachnyy,RU,66.4167,112.4,-41.31,77,55,3.2,broken clouds
205,Dabou,CI,5.3256,-4.3769,82.4,89,20,8.05,few clouds
206,Kutum,SD,14.2,24.6667,63.34,27,18,13.29,few clouds
207,Praia Da Vitoria,PT,38.7333,-27.0667,55.99,94,75,9.22,broken clouds
208,Kalmunai,LK,7.4167,81.8167,74.86,70,0,2.48,clear sky
209,Keti Bandar,PK,24.1447,67.4497,72.12,65,0,11.61,clear sky
210,Yinchuan,CN,38.4681,106.2731,24.01,35,94,3.6,overcast clouds
211,Kaduqli,SD,11.0167,29.7167,77.77,16,20,12.53,few clouds
212,Taldan,RU,53.6667,124.8,-21.86,78,56,5.26,broken clouds
213,Ormara,PK,25.2088,64.6357,72.16,38,0,7.58,clear sky
214,Nhulunbuy,AU,-12.2333,136.7667,82.4,83,85,9.22,overcast clouds
215,Arman,RU,59.7,150.1667,-3.55,82,100,7.96,overcast clouds
216,Puerto Lleras,CO,3.0223,-73.4044,84.51,54,97,2.28,overcast clouds
217,Tura,IN,25.5198,90.2201,67.69,53,0,5.23,clear sky
218,Mucuri,BR,-18.0864,-39.5508,78.44,79,100,9.66,overcast clouds
219,Chapais,CA,49.7834,-74.8492,23.0,86,90,6.91,overcast clouds
220,Vaitape,PF,-16.5167,-151.75,82.96,74,89,10.45,moderate rain
221,Kurilsk,RU,45.2333,147.8833,32.2,81,100,20.76,snow
222,San Patricio,US,28.017,-97.5169,82.0,69,90,23.02,overcast clouds
223,Shagonar,RU,51.5333,92.8,-5.51,86,100,3.18,overcast clouds
224,Manaure,CO,11.7751,-72.4445,86.07,50,10,24.83,clear sky
225,Miri,MY,4.4148,114.0089,73.4,94,40,4.61,scattered clouds
226,Nanortalik,GL,60.1432,-45.2371,29.3,97,100,5.5,light snow
227,Pinehurst,US,35.1954,-79.4695,80.6,50,1,14.97,clear sky
228,Mahebourg,MU,-20.4081,57.7,78.8,83,40,3.44,scattered clouds
229,Chernyshevskiy,RU,63.0128,112.4714,-35.63,100,52,2.82,broken clouds
230,Narsaq,GL,60.9167,-46.05,26.6,46,75,1.14,light snow
231,Bow Island,CA,49.8668,-111.3684,42.8,42,24,6.91,few clouds
232,Emerald,AU,-23.5333,148.1667,75.2,88,100,9.22,moderate rain
233,Haines Junction,CA,60.7522,-137.5108,26.6,63,100,13.8,overcast clouds
234,Stoke-On-Trent,GB,53.0042,-2.1854,44.01,80,20,6.11,few clouds
235,Magadan,RU,59.5667,150.8,-1.61,82,100,6.64,overcast clouds
236,Vermillion,US,42.7794,-96.9292,30.99,69,1,19.57,clear sky
237,Takoradi,GH,4.8845,-1.7554,79.77,85,99,7.76,overcast clouds
238,Severo-Kurilsk,RU,50.6789,156.125,23.9,92,85,17.56,light snow
239,Barrow,US,71.2906,-156.7887,-11.2,77,75,4.61,haze
240,Tucumcari,US,35.1717,-103.725,50.0,13,1,12.66,clear sky
241,Cascais,PT,38.6979,-9.4215,57.0,85,0,4.54,clear sky
242,Ban Nahin,LA,18.2418,104.2122,72.23,63,3,2.48,clear sky
243,Zyryanovsk,KZ,49.7386,84.2719,12.22,95,100,0.4,light snow
244,Katima Mulilo,NA,-17.5,24.2667,63.68,89,75,5.53,broken clouds
245,Georgetown,MY,5.4112,100.3354,80.6,78,20,2.3,light rain
246,Zhigansk,RU,66.7697,123.3711,-26.23,95,96,0.85,overcast clouds
247,Churapcha,RU,62.0025,132.4325,-19.12,97,100,5.08,overcast clouds
248,Xiongzhou,CN,25.1167,114.3,63.32,85,95,2.64,overcast clouds
249,Wad Rawah,SD,15.1603,33.1397,72.01,13,73,14.03,broken clouds
250,Tamandare,BR,-8.7597,-35.1047,79.52,79,65,9.04,broken clouds
251,Itupiranga,BR,-5.1347,-49.3267,84.2,79,20,1.14,few clouds
252,Maniitsoq,GL,65.4167,-52.9,5.77,92,100,21.0,light snow
253,Jibuti,DJ,11.5,42.5,77.0,73,20,13.44,few clouds
254,Port Huron,US,42.9709,-82.4249,48.2,87,90,11.5,overcast clouds
255,Karratha,AU,-20.7377,116.8463,80.19,71,20,12.57,few clouds
256,Husavik,IS,66.0449,-17.3389,41.0,48,75,28.77,light intensity drizzle
257,Nyurba,RU,63.2842,118.3319,-32.4,83,66,5.3,broken clouds
258,Dustlik,UZ,40.5247,68.0358,41.72,60,100,10.71,overcast clouds
259,Belmopan,BZ,17.25,-88.7667,89.6,55,40,3.44,scattered clouds
260,Gushi,CN,34.6425,109.5843,42.3,67,100,12.77,light rain
261,Sturgeon Falls,CA,46.3646,-79.9326,42.8,49,75,14.97,broken clouds
262,Airai,TL,-8.9266,125.4092,59.79,100,100,0.74,overcast clouds
263,Alyangula,AU,-13.8483,136.4192,83.32,77,62,9.33,broken clouds
264,Divnogorsk,RU,55.9594,92.3619,-23.8,76,0,2.59,clear sky
265,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.63,91,93,1.21,moderate rain
266,Itarema,BR,-2.9248,-39.9167,79.92,77,69,11.88,moderate rain
267,Olds,CA,51.7834,-114.102,37.0,80,96,8.05,overcast clouds
268,Pulandian,CN,39.3953,121.9669,28.99,93,90,13.42,mist
269,Lagos,NG,6.5833,3.75,81.07,82,1,7.27,clear sky
270,Samarai,PG,-10.6167,150.6667,81.9,80,100,15.97,overcast clouds
271,Viedma,AR,-40.8135,-62.9967,90.14,30,81,22.17,broken clouds
272,Bluffton,US,32.2371,-80.8604,79.0,78,1,11.5,clear sky
273,Necochea,AR,-38.5473,-58.7368,88.0,47,31,8.99,scattered clouds
274,Solnechnyy,RU,50.7214,136.6319,-7.08,73,5,2.8,clear sky
275,Yar-Sale,RU,66.8333,70.8333,-11.96,89,99,13.06,overcast clouds
276,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,72,20,11.5,few clouds
277,Yangshan,CN,28.7615,115.0287,53.6,96,99,1.72,moderate rain
278,Cayenne,GF,4.9333,-52.3333,80.6,78,90,9.22,overcast clouds
279,Khatanga,RU,71.9667,102.5,-25.44,86,100,2.64,overcast clouds
280,Kumbo,CM,6.2,10.6667,67.1,27,36,4.88,scattered clouds
281,Qui Nhon,VN,13.7667,109.2333,74.5,91,100,1.81,overcast clouds
282,Lumeje,AO,-11.55,20.7833,68.31,91,100,1.1,moderate rain
283,Ambilobe,MG,-13.2,49.05,74.73,89,98,1.77,overcast clouds
284,Pipar,IN,26.3856,73.5378,59.65,32,0,1.57,clear sky
285,Aripuana,BR,-9.1667,-60.6333,78.4,81,92,3.02,overcast clouds
286,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,98.49,20,0,8.66,clear sky
287,Leningradskiy,RU,69.3833,178.4167,-19.34,87,56,0.89,broken clouds
288,Fairbanks,US,64.8378,-147.7164,0.0,77,90,9.22,snow
289,Port Hardy,CA,50.6996,-127.4199,44.6,81,75,18.41,broken clouds
290,Noumea,NC,-22.2763,166.4572,80.01,73,0,2.3,clear sky
291,Sergeyevka,KZ,53.88,67.4158,13.3,94,100,10.83,light snow
292,Carmaux,FR,44.051,2.158,51.01,71,1,3.0,clear sky
